Group	Target
System.Japanese.Font	fonts-vlgothic
System.Japanese.Font	fonts-ipafont
System.Japanese.Font	fonts-ipaexfont
System.Japanese.IME	fcitx-mozc
Sdk.Build	build-essential
Sdk.Build	autoconf
Sdk.Build	flex
Sdk.Build	bison
Sdk.Installer	checkinstall
Sdk.Lib.Gtk	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_GTK.sh.sh
Sdk.CSharp	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_sdk_mono.sh
Sdk.Rust	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_rust.sh
Ide.CSharp	monodevelop
Cui.Auto	expect
Cui.Downloader	aria2
Cui.Clipboard	xsel
Cui.XWindowAutomation	xdotool
Cui.Transtate	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_google_trans.sh
Cui.TerminalMultiplexer	tmux
Cui.TextSql	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_q.sh
Cui.TextSql	jq
Cui.TemplateEngine	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_mo.sh
Cui.SyntaxHighlighter	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_highlight.sh
Cui.ScreenShot	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_raspi2png.sh
Cui.ImageViewer	sxiv
Cui.Web.Google.Search	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_googler.sh
Cui.Web.Google.ImageDownloader	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_googleimagesdownload.sh
Tui.TextEditor	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_vim.sh
Tui.TextBrowser	dialog
Tui.TextBrowser	w3m
Tui.TextBrowser	w3m-img
Tui.TextBrowser	lynx
Tui.FileManager	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_ranger.sh
Gui.Terminal	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_rxvt-unicode.sh
Gui.Terminal	terminology
GUI.Terminal	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_gnome-terminal.sh.sh
GUI.GtkDialog	~/root/work/record/pc/reference/manual/raspbian/AutoInstall/src/install_gtkdialog.sh
Gui.TextEditor	pluma
Gui.ImageEditor	gimp
Gui.Office	libreoffice
Gui.Office	libreoffice-l10n-ja
Gui.Office	libreoffice-help-ja
